-55.0;214790;286132;476887;953774;95.377;4.70;-7.37;0.64
-50.0;149571;199251;332085;664169;66.417;4.49;-7.11;0.63
-45.0;105475;140509;234182;468363;46.836;4.29;-6.86;0.62
-40.0;75279;100282;167137;334274;33.427;4.10;-6.63;0.62
-35.0;54346;72397;120661;241323;24.132;3.91;-6.41;0.61
-30.0;39665;52840;88066;176133;17.613;3.74;-6.19;0.60
-25.0;29253;38970;6450;129900;12.9900;3.57;-5.99;0.60
-20.0;21791;29028;48;381;96761;9.6761;3.41;-5.79;0.59
-15.0;16387;21829;36382;72765;7.2765;3.25;-5.61;0.58
-10.0;12435;16565;27609;55218;5.5218;3.10;-5.43;0.57
-5.0;9518.7;12680;21134;42268;4.2268;2.96;-5.26;0.56
0.0;7347.0;9787.3;16312;32624;3.2624;2.82;-5.10;0.55
5.0;5715.9;7614.4;12691;25381;2.5381;2.68;-4.94;0.54
10.0;4480.8;5969.1;9948.4;19897;1.9897;2.55;-4.80;0.53
15.0;3538.2;4713.4;7855.6;15711;1.5711;2.43;-4.65;0.52
20.0;2813.4;3747.8;6246.4;12493;1.2493;2.31;-4.52;0.51
25.0;2252.0;3000.0;5000.0;10000;1.0000;2.19;-4.39;0.50
30.0;1814.2;2416.8;4028.0;8056.0;0.80560;2.13;-4.26;0.50
35.0;1470.5;1958.9;3264.9;6529.7;0.65297;2.07;-4.14;0.50
40.0;1198.9;1597.2;2661.9;5323.9;0.53239;2.01;-4.03;0.50
45.0;983.06;1309.6;2182.6;4365.3;0.43653;1.96;-3.92;0.50
50.0;810.43;1079.6;1799.4;3598.7;0.35987;1.90;-3.81;0.50
55.0;671.61;894.68;1491.1;2982.3;0.29823;1.85;-3.71;0.50
60.0;559.36;745.14;1241.9;2483.8;0.24838;1.80;-3.61;0.50
65.0;468.11;623.60;1039.3;2078.7;0.20787;1.76;-3.51;0.50
70.0;393.57;524.30;873.83;1747.7;0.17477;1.71;-3.42;0.50
75.0;332.38;442.78;737.96;1475.9;0.14759;1.67;-3.34;0.50
80.0;281.91;375.54;625.90;1251.8;0.12518;1.63;-3.25;0.50
85.0;240.09;319.83;533.05;1066.1;0.10661;1.59;-3.17;0.50
90.0;205.29;273.48;455.79;911.59;0.091159;1.66;-3.09;0.54
95.0;176.21;234.74;391.23;782.46;0.078246;1.74;-3.02;0.58
100.0;151.81;202.23;337.06;674.11;0.067411;1.81;-2.94;0.62
105.0;131.26;174.85;291.42;582.84;0.058284;1.88;-2.87;0.66
110.0;113.88;151.70;252.84;505.68;0.050568;1.95;-2.81;0.70
115.0;99.130;132.06;220.09;440.19;0.044019;2.02;-2.74;0.74
120.0;86.569;115.32;192.21;384.41;0.038441;2.09;-2.68;0.78
125.0;75.836;101.02;168.37;336.748;0.033675;2.15;-2.62;0.82
130.0;66.632;88.764;147.94;295.881;0.029588;2.22;-2.56;0.87
135.0;58.716;78.219;130.36;260.729;0.026073;2.28;-2.50;0.91
140.0;51.886;69.120;115.20;230.400;0.023040;2.34;-2.45;0.96
145.0;45.975;61.246;102.08;204.152;0.020415;2.40;-2.39;1.00
150.0;40.845;54.411;90.685;181.370;0.018137;2.45;-2.34;1.05
